idhspid,bidx,country_str,dhs_code,kidbirthmo,kidbirthyr,precip_12m,z_precip_12m,n_months_matched,n_years_avg
        340021013134  2,1,HN,16,9,2011,157.0386547875943,.5426237886864702,12,15
        340021013191  3,1,HN,16,6,2011,160.6456480818606,.5905084245292933,12,15
        340021013201  2,1,HN,16,7,2011,155.5873990872679,.5454129182666166,12,15
        340021014 11  4,1,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021014 51  2,1,HN,16,11,2009,147.0969868778881,.2692577379929862,12,15
        340021014 51  2,2,HN,16,1,2008,150.2580668470449,.2588358501698945,12,15
        340021014 61  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021014 91  1,1,HN,16,8,2010,138.9239721507501,.0919803905922987,12,15
        340021014 91  1,2,HN,16,9,2008,137.0477087909841,-.2106778316246124,12,15
        3400210141  2,1,HN,1,1,2012,138.1143386662365,.1076131570255809,12,15
        340021014101  2,1,HN,16,1,2011,146.0944680128418,.2028350388937632,12,15
        340021014111  2,1,HN,16,8,2009,125.1996599482804,-.0686446813089224,12,15
        340021014131  2,1,HN,16,2,2008,147.3946094987731,.1343586755937015,12,15
        340021014191  2,1,HN,16,6,2009,128.4090831797405,-.1280421671582415,12,15
        340021015 31  2,1,HN,16,11,2010,140.3427515749711,.0816754237407707,12,15
        340021015 31  2,2,HN,16,5,2007,126.1593421635362,-.204375896033467,12,15
        340021015 41  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021015 41  2,2,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021015 71  1,1,HN,16,9,2010,135.9628104098344,.0509241208449713,12,15
        3400210151  2,1,HN,1,5,2009,141.0522119081651,-.1918678333538407,12,15
        3400210151  2,2,HN,1,8,2007,157.896447663266,.3003292301578642,12,15
        340021015181  2,1,HN,16,8,2008,137.4314256290915,-.2053543227531985,12,15
        340021015201  2,1,HN,16,10,2011,142.7049403500134,.2814844119369797,12,15
        340021016 11  2,1,HN,16,3,2008,147.7135606991729,.1493908104286932,12,15
        340021016 31  4,1,HN,16,6,2008,140.8665027055511,-.0396033368491364,12,15
        340021016 41  2,1,HN,16,9,2011,157.0386547875943,.5426237886864702,12,15
        340021016 41  2,2,HN,16,7,2009,112.9623200443113,-.2705799262619766,12,15
        340021016 41  2,3,HN,16,2,2008,147.394609498773,.1343586755937015,12,15
        340021016 51  2,1,HN,16,7,2011,155.5873990872679,.5454129182666165,12,15
        340021016 91  2,1,HN,16,12,2009,148.1333843787514,.2921449233662505,12,15
        340021016131  1,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021016141  2,1,HN,16,7,2010,141.9663947882213,.1454971332633527,12,15
        340021016141  2,2,HN,16,1,2008,150.258066847045,.2588358501698945,12,15
        340021016171  3,1,HN,16,10,2010,132.0029289810641,-.0250256481219465,12,15
        340021016191  2,1,HN,16,7,2009,112.9623200443113,-.2705799262619766,12,15
        340021017 41  2,1,HN,16,2,2010,139.3275366894508,.1082338112405122,12,15
        340021017 71  2,1,HN,16,10,2010,132.0029289810641,-.0250256481219464,12,15
        340021017 71  2,2,HN,16,11,2007,152.91130629609,.2996704432177338,12,15
        340021017 81  2,1,HN,16,6,2008,140.8665027055511,-.0396033368491364,12,15
        340021017 81  4,1,HN,16,9,2009,131.7449005043583,.0200732667573872,12,15
        340021017 91  5,1,HN,16,2,2008,147.394609498773,.1343586755937015,12,15
        3400210171  2,1,HN,1,1,2011,169.0748285270577,.18653564559905,12,15
        340021017131  5,1,HN,16,3,2007,130.227416880829,.0323493473463456,12,15
        340021017161  2,1,HN,16,6,2009,128.4090831797405,-.1280421671582414,12,15
        340021017171  2,1,HN,16,6,2011,160.6456480818606,.5905084245292933,12,15
        340021017171  2,2,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021017201  2,1,HN,16,3,2009,120.7862539720159,-.3319106315833331,12,15
        340021018 51  3,1,HN,16,9,2007,138.1727382284214,.0698475739453735,12,15
        340021018 51  5,1,HN,16,7,2011,155.5873990872679,.5454129182666166,12,15
        340021018 51  5,2,HN,16,7,2011,155.5873990872679,.5454129182666166,12,15
        340021018 71  3,1,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021018 81  2,1,HN,16,11,2011,141.2753260883736,.2635793408232701,12,15
        3400210181  1,1,HN,1,7,2011,176.8401961318696,.6177479970099099,12,15
        340021018101  2,1,HN,16,9,2010,135.9628104098344,.0509241208449714,12,15
        340021018101  2,2,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021018111  2,1,HN,16,9,2011,157.0386547875944,.5426237886864701,12,15
        340021018141  2,1,HN,16,12,2007,149.8334169772739,.2249470408051351,12,15
        340021018181  2,1,HN,16,7,2008,151.0323716021902,.0527310741910546,12,15
        340021018182  2,1,HN,16,12,2010,145.1180317291195,.1874474354310652,12,15
        340021018191  1,1,HN,16,6,2007,130.1836555963902,-.15546815815495,12,15
        340021018201  4,1,HN,16,2,2008,147.394609498773,.1343586755937016,12,15
        340021019 61  4,1,HN,16,8,2008,137.4314256290915,-.2053543227531985,12,15
        340021019101  5,1,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021019111  2,1,HN,16,11,2011,141.2753260883736,.2635793408232701,12,15
        340021019151  2,1,HN,16,10,2007,132.386952376035,-.0264574632512955,12,15
        340021019181  2,1,HN,16,9,2010,135.9628104098344,.0509241208449714,12,15
        340021019181  2,2,HN,16,3,2008,147.7135606991729,.1493908104286932,12,15
        340021019191  2,1,HN,16,11,2010,140.3427515749711,.0816754237407707,12,15
        34002102 11  2,1,HN,2,11,2009,169.7103907124578,.1483775051297647,12,15
        34002102 11  2,2,HN,2,12,2007,171.0060848057802,.3131278444502792,12,15
        34002102 21  2,1,HN,2,10,2011,161.2714993634128,.288216087524219,12,15
        34002102 31  2,1,HN,2,9,2010,158.2473686420636,.0470761629785229,12,15
        34002102 31  2,2,HN,2,12,2008,140.3784240203431,-.6989587112088835,12,15
        34002102 41  2,1,HN,2,10,2011,161.2714993634127,.2882160875242188,12,15
        34002102 41  2,2,HN,2,10,2009,166.3466253413691,.0950580247006188,12,15
        34002102 41  2,3,HN,2,3,2008,167.3410156110943,.231205571743882,12,15
        34002102 61  5,1,HN,2,9,2007,157.1115181412237,.1088828080663458,12,15
        340021020 31  2,1,HN,16,5,2011,147.4918565036102,.3906905621510876,12,15
        340021020 31  2,2,HN,16,9,2007,138.1727382284214,.0698475739453736,12,15
        340021020111  2,1,HN,16,12,2010,145.1180317291195,.1874474354310652,12,15
        340021020111  2,2,HN,16,9,2008,137.0477087909841,-.2106778316246124,12,15
        340021020171  7,1,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021021 11  2,1,HN,16,10,2007,132.386952376035,-.0264574632512956,12,15
        340021021 41  2,1,HN,16,10,2010,132.0029289810641,-.0250256481219465,12,15
        340021021 61  2,1,HN,16,11,2011,141.2753260883737,.2635793408232701,12,15
        340021021 71  2,1,HN,16,4,2009,120.8685898908292,-.3261477566464717,12,15
        340021021 81  2,1,HN,16,2,2007,127.4337220396314,-.0930868649659927,12,15
        34002102101  2,1,HN,2,2,2011,160.9385984177074,-.0082533614711762,12,15
        340021021101  4,1,HN,16,11,2010,140.3427515749711,.0816754237407707,12,15
        340021021101  4,2,HN,16,1,2009,122.7525948467445,-.2485345638140397,12,15
        340021021201  2,1,HN,16,11,2007,152.91130629609,.2996704432177337,12,15
        34002102151  2,1,HN,2,2,2010,157.8671246975884,.0657110209057553,12,15
        34002102161  2,1,HN,2,2,2012,150.1369446172527,.2175851305977534,12,15
        340021022 31  1,1,HN,16,10,2008,128.7806510269626,-.3441243171874346,12,15
        340021022 72  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021022101  2,1,HN,16,7,2010,141.9663947882213,.1454971332633527,12,15
        340021022101  2,2,HN,16,10,2008,128.7806510269626,-.3441243171874346,12,15
        340021022131  2,1,HN,16,10,2010,132.0029289810641,-.0250256481219465,12,15
        340021022191  2,1,HN,16,6,2010,133.3680120774294,.0683839573680924,12,15
        340021022191  2,2,HN,16,12,2008,112.7529692832857,-.5530227990169104,12,15
        340021022201  2,1,HN,16,8,2007,152.9713149830589,.2873084703834087,12,15
        340021023 11  3,1,HN,16,10,2007,132.386952376035,-.0264574632512955,12,15
        340021023 11  6,1,HN,16,2,2010,139.3275366894508,.1082338112405122,12,15
        340021023 51  2,1,HN,16,6,2010,133.3680120774294,.0683839573680923,12,15
        340021023 81  2,1,HN,16,2,2011,144.5543254700017,.1383200494517018,12,15
        340021023131  2,1,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021023141  2,1,HN,16,11,2009,147.0969868778881,.2692577379929862,12,15
        340021023161  2,1,HN,16,3,2009,120.786253972016,-.3319106315833331,12,15
        340021023171  2,1,HN,16,4,2011,142.1365080950281,.0249857137880118,12,15
        340021024 11  5,1,HN,16,1,2009,122.7525948467445,-.2485345638140396,12,15
        340021024 51  4,1,HN,16,2,2012,130.4875829316778,.0828314828457252,12,15
        340021024 61  2,1,HN,16,5,2010,139.4126317645691,.1494541305792142,12,15
        340021024111  2,1,HN,16,3,2012,130.4443565522923,.0807963245493225,12,15
        340021024111  2,2,HN,16,7,2008,151.0323716021902,.0527310741910546,12,15
        340021024121  2,1,HN,16,12,2011,129.6667425238101,.0074248746701556,12,15
        340021024131  2,1,HN,16,12,2008,112.7529692832858,-.5530227990169104,12,15
        340021024141  2,1,HN,16,9,2009,131.7449005043582,.0200732667573872,12,15
        340021024161  8,1,HN,16,3,2008,147.7135606991729,.1493908104286932,12,15
