country,dhs_code,birth_year,month,baseline_mean,baseline_sd,n_years_used,baseline_year_start,baseline_year_end
HN,10,1999,10,197.515907865025,78.32028135855464,15,1984,1998
HN,10,1999,11,66.39097738939248,30.10558854224707,15,1984,1998
HN,10,1999,12,29.9558192525807,12.09561176511705,15,1984,1998
HN,10,2000,1,18.48871858001112,5.033774881069263,15,1985,1999
HN,10,2000,2,13.37642920219071,6.239325314787633,15,1985,1999
HN,10,2000,3,19.99827185208986,8.965683309638475,15,1985,1999
HN,10,2000,4,46.07577005077194,20.81815335766488,15,1985,1999
HN,10,2000,5,204.6348503847361,128.2654871386857,15,1985,1999
HN,10,2000,6,279.6715542165022,69.06741140032361,15,1985,1999
HN,10,2000,7,209.6102348373146,69.6575903147691,15,1985,1999
HN,10,2000,8,259.7194128079902,96.05433728797263,15,1985,1999
HN,10,2000,9,327.0529327328587,72.25638885306593,15,1985,1999
HN,10,2000,10,199.0476590719525,77.53629007823452,15,1985,1999
HN,10,2000,11,68.27825491718635,28.57684508743043,15,1985,1999
HN,10,2000,12,30.23834880072785,11.83678636290098,15,1985,1999
HN,10,2001,1,18.8426699412106,4.561814247149527,15,1986,2000
HN,10,2001,2,13.10765991172461,6.260423293180081,15,1986,2000
HN,10,2001,3,19.86807257780091,9.063180877285069,15,1986,2000
HN,10,2001,4,46.18370979646408,20.79210847594414,15,1986,2000
HN,10,2001,5,213.5348546206993,126.8720183504197,15,1986,2000
HN,10,2001,6,284.2259476128015,65.80478764694003,15,1986,2000
HN,10,2001,7,206.0709145629453,69.15511589395817,15,1986,2000
HN,10,2001,8,266.9345447531745,94.13888606019225,15,1986,2000
HN,10,2001,9,331.8612516954902,69.63963049821518,15,1986,2000
HN,10,2001,10,200.6239705709926,78.26514840818257,15,1986,2000
HN,10,2001,11,65.30742396547053,29.15163457809664,15,1986,2000
HN,10,2001,12,30.11469129446791,11.90912583062564,15,1986,2000
HN,10,2002,1,18.47416803601393,4.81495473484422,15,1987,2001
HN,10,2002,2,13.2062398030343,6.409000467762842,15,1987,2001
HN,10,2002,3,19.59189786607373,9.213674818282922,15,1987,2001
HN,10,2002,4,47.9840447886449,18.51388664065642,15,1987,2001
HN,10,2002,5,216.1120421660148,128.7745691892488,15,1987,2001
HN,10,2002,6,277.2745676040626,79.92883411606343,15,1987,2001
HN,10,2002,7,209.4078359698073,67.08316047527305,15,1987,2001
HN,10,2002,8,273.2253933282049,91.86858345103074,15,1987,2001
HN,10,2002,9,335.7960851208682,67.09945417797383,15,1987,2001
HN,10,2002,10,214.7296561852709,83.3781417120275,15,1987,2001
HN,10,2002,11,64.90875088469225,29.40934215687771,15,1987,2001
HN,10,2002,12,30.42313456429966,11.69172464058452,15,1987,2001
HN,10,2003,1,18.89667162147565,4.089817855455996,15,1988,2002
HN,10,2003,2,14.08745840303158,6.034484904750889,15,1988,2002
HN,10,2003,3,18.9868813416276,8.77426933365528,15,1988,2002
HN,10,2003,4,47.9897793875616,18.50750533753335,15,1988,2002
